"Tektronix DPO3014, version v2.38, serial number C020185",,
Bus Definition: RS232,,
 Time, Tx, Rx
-6.02E-03, ,7E
-5.89E-03, ,0F
-5.73E-03, ,9
-5.57E-03, ,8
-5.40E-03, ,0
-5.24E-03, ,0
-5.07E-03, ,0
-4.91E-03, ,1
-4.74E-03, ,1
-4.58E-03, ,0
-4.41E-03, ,0
-4.25E-03, ,0
-4.09E-03, ,0
-3.92E-03, ,D7
-3.76E-03, ,67
-3.59E-03, ,7E
4.00E-07,7E,
8.72E-05,0F,
1.74E-04,0,
2.61E-04,9,
3.48E-04,0,
4.34E-04,3F,
5.21E-04,99,
6.08E-04,7E,
2.12E-03,7E,
2.20E-03,2,
2.29E-03,1,
2.38E-03,4,
2.47E-03,0C,
2.55E-03,78,
2.64E-03,32,
2.73E-03,7E,
2.61E-02, ,7E
2.62E-02, ,2
2.64E-02, ,11
2.65E-02, ,1
2.67E-02, ,0
2.69E-02, ,0C
2.70E-02, ,0
2.72E-02, ,0
2.73E-02, ,17
2.75E-02, ,0D
2.77E-02, ,0
2.78E-02, ,0
2.80E-02, ,30
2.82E-02, ,2C
2.83E-02, ,F9
2.85E-02, ,10
2.87E-02, ,1
2.88E-02, ,1
2.90E-02, ,0
2.92E-02, ,2
2.93E-02, ,0
2.95E-02, ,0E
2.96E-02, ,5
2.98E-02, ,43
3.00E-02, ,7E
3.63E-02,7E,
3.64E-02,4,
3.65E-02,5,
3.66E-02,4,
3.67E-02,0,
3.68E-02,0,
3.69E-02,0,
3.70E-02,0,
3.70E-02,3,
3.71E-02,39,
3.72E-02,47,
3.73E-02,7E,
5.98E-02, ,7E
5.99E-02, ,4
6.00E-02, ,3
6.02E-02, ,1
6.04E-02, ,0
6.05E-02, ,3
6.07E-02, ,4
6.09E-02, ,CD
6.10E-02, ,D2
6.12E-02, ,71
6.14E-02, ,7E
6.49E-02,7E,
6.50E-02,1,
6.51E-02,2,
6.52E-02,4,
6.53E-02,6,
6.54E-02,FF,
6.54E-02,8C,
6.55E-02,C5,
6.56E-02,7E,
9.11E-02, ,7E
9.13E-02, ,1
9.14E-02, ,1
9.16E-02, ,1
9.18E-02, ,0
9.19E-02, ,6
9.21E-02, ,62
9.23E-02, ,E7
9.24E-02, ,7E
9.49E-02,7E,
9.50E-02,6,
9.51E-02,0,
9.52E-02,4,
9.53E-02,31,
9.54E-02,56,
9.55E-02,7E,
3.87E-01,7E,
3.88E-01,9,
3.88E-01,0,
3.88E-01,4,
3.88E-01,F6,
3.88E-01,1C,
3.88E-01,7E,
